               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.023031,            0.013371,              0.0199,             0.54562,             0.77135,             0.70424,              0.4544,            0.014443,           0.0037499,             0.01127,            0.006766,            0.006766,            0.006766
                  51,            0.022152,            0.012231,            0.020025,             0.61571,             0.77616,              0.7625,             0.46957,            0.014778,           0.0037484,            0.010451,              0.0067,              0.0067,              0.0067
                  52,            0.025122,            0.013317,            0.023598,             0.68936,             0.84201,             0.83126,             0.59977,            0.010774,           0.0037801,            0.010233,            0.006634,            0.006634,            0.006634
                  53,            0.021094,            0.011797,            0.019543,             0.71733,             0.83943,             0.82848,             0.52925,            0.014143,           0.0041391,            0.010394,            0.006568,            0.006568,            0.006568
                  54,             0.03002,            0.012795,            0.028901,             0.68415,             0.90769,             0.83427,             0.55273,            0.010469,           0.0040523,           0.0096851,            0.006502,            0.006502,            0.006502
                  55,            0.025904,            0.011406,            0.025528,             0.63667,             0.88345,              0.7866,             0.55973,            0.015397,           0.0040218,           0.0090935,            0.006436,            0.006436,            0.006436
                  56,            0.023669,            0.012642,            0.018208,             0.72335,             0.88696,             0.85129,             0.48044,            0.013538,           0.0038642,           0.0085831,             0.00637,             0.00637,             0.00637
                  57,            0.022102,            0.012502,            0.018324,             0.73919,             0.88218,              0.8911,              0.6665,           0.0094516,           0.0037497,           0.0084515,            0.006304,            0.006304,            0.006304
                  58,            0.022212,            0.011494,            0.020558,             0.59407,             0.84019,             0.77543,             0.51393,            0.015983,           0.0037821,           0.0084389,            0.006238,            0.006238,            0.006238
                  59,            0.021564,            0.011974,            0.018352,             0.77701,             0.75287,             0.85184,              0.5949,            0.013052,            0.003809,           0.0090317,            0.006172,            0.006172,            0.006172
                  60,            0.022936,            0.013122,            0.017054,             0.79133,             0.74322,             0.84296,             0.61567,            0.011793,           0.0037953,           0.0093224,            0.006106,            0.006106,            0.006106
                  61,            0.025939,             0.01184,            0.017938,             0.75677,              0.7131,             0.84263,             0.58423,            0.012216,           0.0037428,            0.009153,             0.00604,             0.00604,             0.00604
                  62,            0.021873,            0.012574,            0.016462,             0.53847,             0.73019,             0.71525,             0.42726,            0.015051,           0.0036667,           0.0086483,            0.005974,            0.005974,            0.005974
                  63,            0.022614,            0.011623,            0.018968,             0.62252,             0.71376,             0.71547,             0.48778,            0.017057,           0.0034874,           0.0079548,            0.005908,            0.005908,            0.005908
                  64,            0.030319,             0.01233,            0.026758,             0.65815,             0.72954,             0.79143,             0.58543,            0.014038,           0.0038303,           0.0084251,            0.005842,            0.005842,            0.005842
                  65,            0.030816,            0.012727,            0.024347,             0.68282,             0.84175,             0.83885,             0.61085,            0.011162,           0.0042147,           0.0088566,            0.005776,            0.005776,            0.005776
                  66,            0.020852,            0.012568,            0.020733,             0.72889,              0.8681,             0.85261,             0.62312,            0.010083,           0.0042517,           0.0086632,             0.00571,             0.00571,             0.00571
                  67,            0.021118,            0.013033,            0.015246,              0.7653,             0.84665,             0.86006,              0.5886,            0.010037,           0.0041527,           0.0083748,            0.005644,            0.005644,            0.005644
                  68,            0.025557,            0.012897,            0.023775,             0.72099,             0.82982,             0.85022,             0.59615,            0.012126,           0.0041219,           0.0082638,            0.005578,            0.005578,            0.005578
                  69,            0.020893,            0.012619,            0.015774,              0.7677,             0.93011,             0.91094,             0.63012,            0.011198,           0.0035162,           0.0071663,            0.005512,            0.005512,            0.005512
                  70,            0.020378,            0.011725,            0.014689,             0.77343,             0.93805,             0.91248,             0.69492,             0.01107,           0.0033357,           0.0068859,            0.005446,            0.005446,            0.005446
                  71,            0.024559,            0.011562,            0.018183,             0.83108,             0.92147,             0.93719,             0.69029,            0.010251,           0.0031932,           0.0068939,             0.00538,             0.00538,             0.00538
                  72,            0.024723,            0.012037,            0.014218,             0.84993,             0.92661,             0.94316,             0.70923,           0.0083794,           0.0031952,           0.0064007,            0.005314,            0.005314,            0.005314
                  73,            0.019937,            0.012401,            0.017612,             0.86347,             0.90658,             0.94144,             0.66267,            0.010742,           0.0032206,           0.0063171,            0.005248,            0.005248,            0.005248
                  74,            0.024787,            0.013057,            0.017995,             0.88377,             0.91776,             0.93792,             0.71059,            0.012192,           0.0032395,            0.006094,            0.005182,            0.005182,            0.005182
                  75,            0.028467,            0.010801,             0.01497,             0.86802,             0.92207,              0.9398,             0.67699,             0.01081,           0.0031912,           0.0059715,            0.005116,            0.005116,            0.005116
                  76,            0.019908,            0.012298,            0.014013,             0.87004,             0.92323,             0.94162,             0.71987,           0.0097716,             0.00315,           0.0058233,             0.00505,             0.00505,             0.00505
                  77,            0.022099,            0.011498,            0.014917,             0.81984,             0.92682,             0.92126,             0.63402,             0.01009,           0.0032138,           0.0055172,            0.004984,            0.004984,            0.004984
                  78,            0.023006,            0.011234,             0.01876,             0.84082,             0.92296,              0.9312,             0.70817,            0.011847,             0.00323,            0.005468,            0.004918,            0.004918,            0.004918
                  79,            0.021986,            0.012106,            0.016373,             0.85353,             0.96995,             0.95677,             0.68344,           0.0098346,           0.0032863,           0.0052643,            0.004852,            0.004852,            0.004852
                  80,            0.020078,            0.011425,            0.013034,             0.83858,              0.9618,             0.94627,             0.70975,             0.01063,            0.003179,           0.0051149,            0.004786,            0.004786,            0.004786
                  81,            0.023899,            0.011075,            0.018289,             0.88927,             0.91731,             0.95977,             0.72101,            0.010051,           0.0030292,           0.0048283,             0.00472,             0.00472,             0.00472
                  82,            0.021141,            0.011318,            0.015166,              0.8465,             0.91162,             0.92778,             0.67558,            0.013799,           0.0030855,           0.0047836,            0.004654,            0.004654,            0.004654
                  83,            0.019779,            0.010345,            0.012638,             0.89247,             0.93434,             0.95818,             0.69205,           0.0098211,           0.0031023,           0.0043922,            0.004588,            0.004588,            0.004588
                  84,            0.019621,            0.011518,            0.012114,             0.90515,             0.93057,             0.95898,             0.72544,           0.0088107,            0.003114,           0.0043247,            0.004522,            0.004522,            0.004522
                  85,            0.025912,            0.011249,            0.016484,             0.90906,             0.91661,             0.95976,             0.74945,           0.0084246,           0.0032719,           0.0041754,            0.004456,            0.004456,            0.004456
                  86,            0.024342,            0.010887,            0.013155,             0.90832,             0.91574,             0.95957,              0.6658,            0.014736,           0.0033688,           0.0041559,             0.00439,             0.00439,             0.00439
                  87,            0.020411,            0.011243,            0.011051,               0.861,             0.91141,             0.94724,              0.6626,            0.011668,           0.0033561,            0.003968,            0.004324,            0.004324,            0.004324
                  88,            0.020399,             0.01145,            0.015491,             0.93602,             0.90499,             0.97056,             0.73724,           0.0099026,           0.0033573,           0.0039611,            0.004258,            0.004258,            0.004258
                  89,            0.021978,            0.011337,            0.016426,             0.95326,             0.91096,             0.97441,             0.78456,           0.0070952,           0.0032785,            0.003717,            0.004192,            0.004192,            0.004192
                  90,            0.019871,            0.011304,            0.013517,               0.959,             0.90865,             0.97731,             0.74848,            0.010259,            0.003255,           0.0036544,            0.004126,            0.004126,            0.004126
                  91,            0.019154,             0.01075,             0.01071,             0.91338,             0.91956,             0.97753,             0.74638,            0.011728,           0.0031477,           0.0034049,             0.00406,             0.00406,             0.00406
                  92,            0.025607,            0.011416,            0.011301,             0.92924,             0.95084,              0.9762,             0.74012,           0.0082592,           0.0031127,           0.0032742,            0.003994,            0.003994,            0.003994
